14052021;220;A;USD;5,2695;5,2701;1,0000;1,0000
17052021;220;A;USD;5,2749;5,2755;1,0000;1,0000
18052021;220;A;USD;5,2582;5,2588;1,0000;1,0000
19052021;220;A;USD;5,2816;5,2822;1,0000;1,0000
20052021;220;A;USD;5,2899;5,2905;1,0000;1,0000
21052021;220;A;USD;5,3021;5,3027;1,0000;1,0000
24052021;220;A;USD;5,3192;5,3198;1,0000;1,0000
25052021;220;A;USD;5,3137;5,3143;1,0000;1,0000
26052021;220;A;USD;5,3158;5,3164;1,0000;1,0000
27052021;220;A;USD;5,2833;5,2840;1,0000;1,0000
28052021;220;A;USD;5,2274;5,2281;1,0000;1,0000
31052021;220;A;USD;5,2316;5,2322;1,0000;1,0000
01062021;220;A;USD;5,1630;5,1636;1,0000;1,0000
02062021;220;A;USD;5,1140;5,1147;1,0000;1,0000
04062021;220;A;USD;5,0661;5,0666;1,0000;1,0000
07062021;220;A;USD;5,0492;5,0498;1,0000;1,0000
08062021;220;A;USD;5,0483;5,0489;1,0000;1,0000
09062021;220;A;USD;5,0527;5,0533;1,0000;1,0000
10062021;220;A;USD;5,0629;5,0635;1,0000;1,0000
11062021;220;A;USD;5,1184;5,1190;1,0000;1,0000
14062021;220;A;USD;5,0701;5,0707;1,0000;1,0000
15062021;220;A;USD;5,0868;5,0874;1,0000;1,0000
16062021;220;A;USD;5,0201;5,0207;1,0000;1,0000
17062021;220;A;USD;5,0353;5,0359;1,0000;1,0000
18062021;220;A;USD;5,0308;5,0314;1,0000;1,0000
21062021;220;A;USD;5,0367;5,0373;1,0000;1,0000
22062021;220;A;USD;5,0172;5,0178;1,0000;1,0000
23062021;220;A;USD;4,9513;4,9519;1,0000;1,0000
24062021;220;A;USD;4,9271;4,9277;1,0000;1,0000
25062021;220;A;USD;4,9200;4,9206;1,0000;1,0000
28062021;220;A;USD;4,9414;4,9420;1,0000;1,0000
29062021;220;A;USD;4,9444;4,9450;1,0000;1,0000
30062021;220;A;USD;5,0016;5,0022;1,0000;1,0000
